name,id,nametype,recclass
Grosnaja,11206,Valid,CV3
Gross-Divina,11207,Valid,H5
Grossliebenthal,11208,Valid,L6
Grüneberg,11426,Valid,H4
Grzempach,11429,Valid,H5
Gualeguaychú,11432,Valid,H6
Guangmingshan,11435,Valid,H5
Guangnan,11436,Valid,L6
Guangrao,11437,Valid,L6
Guareña,11439,Valid,H6
Guêa,11440,Valid,Stone-uncl
Guibga,11442,Valid,L5
Guidder,11443,Valid,LL5
Gujargaon,11448,Valid,H5
Gujba,11449,Valid,CBa
Gumoschnik,11450,Valid,H5
Gurram Konda,11464,Valid,L6
Gursum,11465,Valid,H4/5
Gütersloh,11466,Valid,H3/4
Gyokukei,11467,Valid,OC
Hachi-oji,11468,Valid,H?
Hainaut,11472,Valid,H3-6
Hallingeberg,11479,Valid,L3.4
Hamlet,11485,Valid,LL4
Haraiya,11824,Valid,Eucrite-mmict
Haripura,11829,Valid,CM2
Harleton,11830,Valid,L6
Harrison County,11842,Valid,L6
Hashima,11848,Valid,H4
Hassi-Jekna,11852,Valid,"Iron, IAB-sHL"
Hatford,11855,Valid,Stone-uncl
Haverö,11859,Valid,Ureilite
Hedeskoga,11869,Valid,H5
Hedjaz,11870,Valid,L3.7-6
Heredia,11875,Valid,H5
Hessle,11878,Valid,H5
Higashi-koen,11883,Valid,H5
High Possil,11884,Valid,L6
Hiroshima,11889,Valid,H5
Hoima,44714,Valid,H6
Hökmark,11893,Valid,L4
Holbrook,11894,Valid,L/LL6
Holetta,11895,Valid,Stone-uncl
Homestead,11901,Valid,L5
Honolulu,11904,Valid,L5
Hotse,11913,Valid,L6
Hoxie,11915,Valid,OC
Hraschina,11916,Valid,"Iron, IID"
Huaxi,54719,Valid,H5
Hungen,11986,Valid,H6
Hvittis,11989,Valid,EL6
Ibbenbüren,11992,Valid,Diogenite
Ibitira,11993,Valid,Eucrite-mmict
Ibrisim,11994,Valid,OC
Ichkala,11995,Valid,H6
Idutywa,12000,Valid,H5
Iguaracu,12003,Valid,H5
Ijopega,12004,Valid,H6
Indarch,12027,Valid,EH4
Independence,12028,Valid,L6
Inner Mongolia,12037,Valid,L6
Innisfree,12039,Valid,L5
Ipiranga,12043,Valid,H6
Ishinga,12049,Valid,H
Isthilart,12053,Valid,H5
Itapicuru-Mirim,12056,Valid,H5
Itqiy,12058,Valid,EH7-an
Ivuna,12063,Valid,CI1
Jackalsfontein,12065,Valid,L6
Jajh deh Kot Lalu,12067,Valid,EL6
Jalanash,12068,Valid,Ureilite
Jalandhar,12069,Valid,Iron
Jamkheir,12072,Valid,H6
Jartai,12074,Valid,L6
Jelica,12078,Valid,LL6
Jemlapur,12079,Valid,L6
Jesenice,51589,Valid,L6
Jhung,12085,Valid,L5
Jiange,12086,Valid,H5
Jianshi,12087,Valid,"Iron, IIIAB"
Jilin,12171,Valid,H5
Jodiya,47362,Valid,L5
Jodzie,12173,Valid,Howardite
Johnstown,12198,Valid,Diogenite
Jolomba,12199,Valid,LL6
Jonzac,12202,Valid,Eucrite-mmict
Juancheng,12203,Valid,H5
Judesegeri,12207,Valid,H6
Jumapalo,12209,Valid,L6
Junan,12210,Valid,L6
Juromenha,12213,Valid,"Iron, IIIAB"
Juvinas,12214,Valid,Eucrite-mmict
Kaba,12218,Valid,CV3
Kabo,12220,Valid,H4
Kadonah,12221,Valid,H6
Kaee,12222,Valid,H5
Kagarlyk,12227,Valid,L6
Kaidun,12228,Valid,CR2
Kainsaz,12229,Valid,CO3.2
Kakangari,12230,Valid,K3
Kakowa,12231,Valid,L6
Kalaba,12232,Valid,H4
Kalumbi,12236,Valid,L6
Kamalpur,12238,Valid,L6
Kamiomi,12240,Valid,H5
Kamsagar,12241,Valid,L6
Kandahar (Afghanistan),12243,Valid,L6
Kangean,12245,Valid,H5
Kangra Valley,12246,Valid,H5
Kapoeta,12251,Valid,Howardite
Kaprada,47357,Valid,L5/6
Kaptal-Aryk,12253,Valid,L6
Karakol,12256,Valid,LL6
Karatu,12258,Valid,LL6
Karewar,12260,Valid,L6
Karkh,12262,Valid,L6
Karloowala,12263,Valid,L6
Karoonda,12264,Valid,CK4
Kasamatsu,12266,Valid,H
Kasauli,30740,Valid,H4
Katagum,35465,Valid,L6
Kavarpura,47351,Valid,"Iron, IIE-an"
Kayakent,12268,Valid,"Iron, IIIAB"
Kediri,12270,Valid,L4
Kemer,53654,Valid,L4
Kendleton,12275,Valid,L4
Kendrapara,12276,Valid,H4-5
Kerilis,12282,Valid,H5
Kernouve,12284,Valid,H6
Kesen,12286,Valid,H4
Khairpur,12288,Valid,EL6
Khanpur,12289,Valid,LL5
Kharkov,12291,Valid,L6
Kheragur,12294,Valid,L6
Khetri,12296,Valid,H6
Khmelevka,12297,Valid,L5
Khohar,12298,Valid,L3.6
Khor Temiki,12299,Valid,Aubrite
Kidairat,12300,Valid,H6
Kiel,12301,Valid,L6
Kiffa,12303,Valid,H5
Kijima (1906),12305,Valid,Stone-uncl
Kikino,12306,Valid,H6
Kilabo,12307,Valid,LL6
Kilbourn,12308,Valid,H5
Killeter,12309,Valid,H6
Kingai,12316,Valid,H6
Kirbyville,12321,Valid,Eucrite-mmict
Kisvarsány,12325,Valid,L6
Kitchener,12326,Valid,L6
Klein-Wenden,12332,Valid,H6
Knyahinya,12335,Valid,L/LL5
Kobe,12336,Valid,CK4
Kokubunji,12342,Valid,L6
Komagome,12343,Valid,Iron
Konovo,12344,Valid,LL5
Košice,53810,Valid,H5
Krähenberg,12353,Valid,LL5
Krasnoi-Ugol,12355,Valid,L6
Krasnyi Klyuch,12357,Valid,H5
Krutikha,12363,Valid,OC
Krymka,12364,Valid,LL3.2
Kukschin,12368,Valid,L6
Kulak,12369,Valid,L5
Kuleschovka,12370,Valid,L6
Kulp,12373,Valid,H6
Kunashak,12377,Valid,L6
Kunya-Urgench,12379,Valid,H5
Kushiike,12381,Valid,OC
Kusiali,12382,Valid,L6
Kutais,12383,Valid,H5
Kuttippuram,12384,Valid,L6
Kuznetzovo,12385,Valid,L6
Kyushu,12390,Valid,L6
La Bécasse,12392,Valid,L6
La Charca,12394,Valid,OC
La Colina,12395,Valid,H5
La Criolla,12396,Valid,L6
Laborel,12408,Valid,H5
Lahrauli,12433,Valid,Ureilite
L'Aigle,12434,Valid,L6
Cumulus Hills 04075,32531,Valid,Pallasite
Lakangaon,12435,Valid,Eucrite-mmict
Lalitpur,12451,Valid,L6
Lancé,12455,Valid,CO3.5
Lancon,12456,Valid,H6
Långhalsen,12461,Valid,L6
Lanxi,12464,Valid,L6
Lanzenkirchen,12465,Valid,L4
Laochenzhen,12466,Valid,H5
Launton,12740,Valid,L6
Lavrentievka,12743,Valid,L6
Le Pressoir,12748,Valid,H5
Le Teilleul,12749,Valid,Howardite
Leedey,12755,Valid,L6
Leeuwfontein,12756,Valid,L6
Leighlinbridge,12759,Valid,L6
Leighton,12760,Valid,H5
Leonovka,12765,Valid,L6
Les Ormes,12769,Valid,L6
Lesves,12772,Valid,L6
Lichtenberg,14646,Valid,H6
Lillaverke,14650,Valid,H5
Limerick,14652,Valid,H5
Linum,14655,Valid,L6
Lishui,14659,Valid,L5
Lissa,14661,Valid,L6
Little Piney,14664,Valid,L5
Lixna,14670,Valid,H4
Lodran,14675,Valid,Lodranite
Lohawat,14678,Valid,Howardite
Lorton,52843,Valid,L6
Los Martinez,14708,Valid,L6
Lost City,14711,Valid,H5
Louisville,14716,Valid,L6
